,tweet
216,"The leftists are a bunch of morons, but even they deserve banks &amp; legal representation. Sadly the “tolerant” Left doesn’t believe the same for us. @blckriflecoffee &amp; @EvanHafer make great coffee &amp; support our vets, which is why I’ll always have their back! https://t.co/FLqltSiG6B"
217,Congrats USA Baseball and @maxxclarkk13 well done. Ignore the haters who will tell you not to celebrate!!!
218,Amazing. Build The Wall… and not just around Martha’s Vineyard.
219,"“This November, we need to defend pregnant Latinx men.”"
220,Seems odd to me that Martha’s Vineyard is allowed to have a border but Texas isn’t!
221,"It took less than 24 hours for the libs to kick these illegal immigrants out of Martha's Vineyard, but Biden won't lift a finger to deport the thousands of illegals pouring through the southern border daily out of the country."
222,"🚨🚨🚨

EXCLUSIVE: Democratic Senate candidate Tim Ryan has an 'ongoing problem' with cops after hurling beer on them in 1995 bar fight and being ARRESTED after drunken wedding party in 2012, while he was a member of Congress, top Ohio police union warns

https://t.co/hGXCp4zrzd"
223,Checks out https://t.co/b31KN3LRVz
224,"Fetterman cast lone vote in failed bid to free man convicted of murdering woman with scissors; DA speaks out

https://t.co/7lYO5Z5B8W"
225,Yikes!!!
226,100% Imagine crapping on a 17 year old American kid for celebrating a homer he hit that tied a huge game against Canada? The kid is still in high school give me a break. Well done Max! 🇺🇸🇺🇸🇺🇸
227,Remember folks you don’t have a border problem if you don’t have a border.
228,Yes it’s science that white people make you fat.
229,Enemy of the people.
230,"There’s something seriously broken in federal Law Enforcement if they’re going after Mike Lindell, but not the people on Jeffery Epstein’s list."
231,"For perspective this is the guy who thought the island of Guam would capsize if we put too much military equipment on one side… so it’s not at all surprising he’s this dumb. 

https://t.co/RAg9AMz2Ve"
232,"Not able to make it in person this year, but I’m looking forward to virtually address the patriotic @texyouthsummit crowd this upcoming Saturday!

MAGA! https://t.co/UQsp12dQ7q"
233,"A big congrats to @GenDonBolduc and @kleavittnh on their BIG primary wins in New Hampshire last night!

I'm happy to support both of them in their races. It's time for all Republicans to unite behind them to help take New Hampshire back from the radical left in November!!!"
234,"Don't be fooled: Tim Ryan supports all of Biden's leftist bullshit. 

Ryan says he wants to ""kill"" MAGA Republicans, ban gas cars and votes with Biden/Pelosi 100% of the time, but then he has the nerve to run TV ads claiming he's a moderate? What a flip-flopping liberal fraud."
235,"If you want your toddler to get a permanent sex change that’s totally fine, but if you’re going to legally buy a gun we’re going to make sure we know who you are and that we can track you. 

It never fricken ends!"
236,It’s almost like they’re using him as a decoy to make Joe Biden seem competent and with it.
237,"Every rapist and murderer in the country is rooting for Fetterman to win his Senate race.

Fox News: Dem Senate candidate Fetterman pushed to free man convicted of fatally shooting, stabbing victim

https://t.co/7Y8VJvPWwT"
238,Unbelievable! Its a press conf about a democrat politician killing a reporter and somehow they still make it about Trump.
239,"Don't be fooled by Tim Ryan's slick TV ads, he's just another anti-cop, pro-BLM leftist!!!"
240,"MUST WATCH: Great new ad calling out the radical left for dividing America over race, from my friend, @HerschelWalker!

https://t.co/0o3ZF1646U"
241,"""John Fetterman never called to release 1/3 of criminals"" - Dishonest leftwing fact checkers

REALITY 👇👇👇

https://t.co/nSZMnwKwn4"
242,"Ohio Senate Democrat nominee Tim Ryan called for a ban of 'gas vehicles' in 2019

https://t.co/VcOe93mSG6"
243,"BREAKING: Tim Ryan pretends to be a ""moderate,"" but here he is on video calling to ban all gas cars. 

Ryan is such a radical liberal that he even criticizes Bernie Sanders' plan to ban gas cars by 2040 for not being fast enough!!!

https://t.co/FrNWxYvNuC"
244,This clown makes Biden seem smart &amp; articulate. Pennsylvania you can do so much better than this radical idiot.#PASen https://t.co/2ZVsxZmZ2R
245,This man is not well.
246,"One-of-a-Kind Henry Rifle Heads to Auction for Shadow Warriors Project | Outdoor Wire! @markgeistSWP &amp; https://t.co/MAGO8vz5zh
  https://t.co/Qz0gydbuxm"
247,Imagine what the media would do if Trump gave that speech about millions of democrat voters. It really makes you realize how partisan and broken they are when watching them desperately run cover for arguably the most divisive speech in American history.
248,THIS
249,It’s actually amazing how much of a fricken nut job Fetterman is.
250,I honestly thought this was a Babylon Bee headline when I first saw it.
251,"Apparently it’s easy to be a person tough guy when you have the entire mainstream media backing you, but John Fetterman is clearly scared to debate actual issues with Dr. Oz.

Haven’t we learned what happens when you put a mush brain in charge? Fetterman makes Biden look with it!"
252,"BREAKING: @GPSDistrict Asst. Principal Discriminates Against Hiring Catholics; Hopes to Ensure Students Vote Democrat

“You don’t hire them[Catholics]”

“It’s subtle…They’ll never say ‘oh this is a liberal way of doing this’” 

#TheSecretCurriculum 
https://t.co/8Hd1a9q9fA"
253,"CC: Ohio voters. 

Tim Ryan is pretend to be for working class Ohio voters but he’s just a leftist wolf in sheep’s clothing. This is the stuff he really cares about. Beware."
254,"Yet another seemingly crooked FBI agent… I’m sure he will get his job back in no time… or a show on CNN. 

FBI agent resigns amid Hunter Biden probe scrutiny https://t.co/HEiUfvX6zO"
255,How well do you know President Trump? Take the fast quiz and see how well you know your favorite President here now. https://t.co/LXs06irc0I
256,You morons can’t even define what a woman is.
257,YES!!!!!
258,"Of course they wouldn’t care about little things like someone’s rights when they’re so fully committed to their travesty of justice. In a banana they don’t sweat the details. 

Affidavit: DOJ Wasn't Sure Whether Documents Had 'Defense Information' https://t.co/hnU1hrwwNs"
259,Well this really clears things up. https://t.co/6S2FxIQtSi
260,They tell you with a straight face that they want “transparency” knowing that their media lackeys will run with it as though it’s a fact. Then they release this. Transparency my ass!!!
261,"Everyone not doing the left’s bidding is “far right”
I love that a company cares enough to fight the indoctrination happening in our schools by helping concerned parents win school board seats. Want to help? Switch mobile carriers to ⁦@PatriotMobile⁩ https://t.co/jb4KAmnjgZ"
262,"They don’t want to get ahead of something they announced yesterday. 
Way to think it through folks."
263,"So basically the same argument they made about needing to keep the country shutdown indefinitely during COVID. Who knows how long it’ll take. Who knows how much it’ll wreck your life. But trust us, it’s gonna be worth it!"
264,"45: Joe Biden and the Radical Left Democrats have just orchestrated another election enhancing money grab, this time to the tune of $300,000,000,000—and just like I predicted, it’s coming right out of the pocket of the working-class Americans who are struggling the most! https://t.co/b1WKHx5iPW"
265,"If College wasn’t such a scam, and you actually graduated with a useful degree, the government wouldn’t have to forgive student loan debt. Get @charliekirk11’s new book today! https://t.co/uWpvYTNhRk"
266,"Tax the University endowments. 

Pass it on."
267,Yes because thousands of Harvard Law grads need hard working blue collar workers to help them pay off their loans for them. Insane and disgusting.
268,"Can’t wait to hear what she does when someone tells her about Wild Bill! 

Chelsea Clinton deletes Ye's music over 'unconscionable' behavior https://t.co/m7oTGQWx9q"
269,"Why is there so much student debt? Because leftwing universities keep on raising tuition, while graduating kids with worthless degrees. 

That's why any solution to student debt that doesn't touch the billions of dollars sitting in the university endowments is an absolute scam!"
270,And we wonder why so few red-blooded American patriots want to sign up. The guys we want fighting for us don’t want the woke bullshit!
271,"Canceling student debt is a tax on the most responsible people in the country.

Forcing people who worked hard to repay their loans or those who didn't have the luxury of going to college, to subsidize people who wasted $$$ on worthless gender study degrees is a slap in the face."
272,As a country we are nurturing incompetence and irresponsible behavior while penalizing hard work and fiscal responsibility. We’re practically mandating it at this point. How long can this continue before we collapse as a society and a nation?
273,"You know who it really discriminated against? 

1) Those that saved their money, skipped cool toys/trips and already paid their debts

2) Those that went to work rather than getting a $300K gender studies degree. 

Now you’re asking them to pay for those who did the opposite."
274,If you’ve been watching you know that Free speech is THE fundamental issue of our time. Don’t let our children be silenced. Help equip them to stand up for what they believe with the FREE Kids Guide to Free Speech &amp; Cancel Culture. It’s FREE here! https://t.co/h89sqnOz2W https://t.co/XGO1yxzduT
275,Looks like he’s doing better than Nancy on an average day in Congress.
276,It's always America Last
277,"WOW, Fetterman is so radical that he makes Bernie Sanders look moderate!!!"
278,"Navy SEALs Back Up Trump Jr. on Military Wasting Time on Diversity Training

https://t.co/yAGE3c7iaM"
279,Liz Cheney did more to motivate GOP voters on her way out of office than she or her father ever did for the party in office.
280,"Dr. Anthony Fauci, the US's top infectious disease expert who has seeming been wrong about everything since the AIDS epidemic, says he will retire by the end of the year likely to avoid being questioned by a GOP controlled house on how he got everything so wrong for so long!"
281,Congratulations to my brother in law @jaredkushner on his new book! BREAKING HISTORY. A must read for all those who miss 45 being in the WH. Get your copy today! Breaking History – HarperCollins https://t.co/mZMpgzuVVh
282,.@RepJimBanks gets it!!!
283,FBI to busy persecuting political enemies to be bothered with this. Now if it was an abortion center I’m sure they’d be all over it.
284,Tens of people devastated.
285,YIKES!!!
286,More Big Tech bullshit!!!
287,"I actually hope Liz runs for President in 2024, just so we can all watch her humiliate herself again."
288,"Watch this and ask yourself why anyone would ever trust the FBI ever again!!! How many more cases are there like this, how many more people entrapped so some Govt Bureaucrat can make it look like he actually solved a crime? OMG!!!"
289,Free speech is THE fundamental issue of our time. Don’t let our children be silenced. Help equip them to stand up for what they believe with the FREE Kids Guide to Free Speech &amp; Cancel Culture. https://t.co/h89sqo6arw
290,"There's a bigger chance of finally finding those WMD’s in Iraq that Dick Cheney lied about, than there is of Liz Cheney being elected President in 2024!"
291,Liz Cheney really compared herself to Lincoln… LMFAO. That CNN &amp; MSDNC fluffing really got to her carpetbagger/warmonger head. https://t.co/vuwvDnLIeV
292,"Bye bye @Liz_Cheney. On the bright side at least you won’t have to pretend to be from Wyoming anymore.
 https://t.co/DMcj3ua42d"
293,Yikes!
294,"RINO @KevinHayslett gets rich defending child molesters and other disgusting criminals &amp; lowlifes.  Sick.

Not MAGA.  Not America First.  

Vote for the only Trump Republican in the FL-13 race on or before this coming Tuesday.  @VoteAPL Anna Paulina Luna https://t.co/ZXOVPYOw3p"
295,"#DitchLiz 

Vote for @HagemanforWY! https://t.co/mWqefOIDrW"
296,"If you live in Alaska, we have two Trump-endorsed MAGA warriors who need your support today:

@KellyForAlaska running for US Senate
@SarahPalinUSA running for US Congress

Get out and vote for these two strong America First conservatives!!!"
297,Is this equity or just flat out racism? I guess based on the parameters instituted by the left it’s all the same thing anyway. If you can get your kids the hell out of these “schools” at all costs.
298,I’m shocked that the only thing that would be allowed to go viral supposedly by me was clearly something I would never say and would be derogatory to our incredible supporters. It’s almost like there’s a pattern here!
299,Noted right wing insurrectionists Starbucks…
300,"Wyoming friends - Today is the day - Get out and vote for Trump endorsed conservative @HagemanforWY to replace Liz Cheney! 

Cheney betrayed Wyoming's conservative values when she sold out to Nancy Pelosi and the radical left. 

Time to send Liz into early retirement!!!"
301,"You know the drill folks… She heard the narrative she/Dems wanted to hear and in all likelihood didn’t bother to ask any questions… just ran with it. It took a few seconds to disprove the BS, but I’m sure that will get no coverage. They’ll pretend it never happened as usual."
302,"So in Los Angles they just disqualified almost 30% of ballot signatures BUT they expect you to believe that LESS THAN 1% of Ballots were faulty in the 2020 Presidential Election! 
Give me a fricken break!!!"
303,"I thought Merrick Garland said they wanted to be transparent? 
Guess that was only until they lost control of the narrative?!?"
304,Seems to me that the CDC owes your “conspiracy theorist” friend an apology! https://t.co/02R1NPk1P0
305,"Democrats are prioritizing the radical climate agenda over addressing skyrocketing energy prices. The bill is a costly, wasteful and cronyist attempt to control our lives by declaring war on coal and gas."
306,"Wow - scary stuff. 

Fetterman makes Joe Biden look totally lucid and healthy."
307,"The IRS is a bloated, corrupt organization that has been at the center of multiple scandals.
If the Inflation Corruption Act passes, they will be given a $78.9 Billion slush fund that amounts to 6 times their annual budget.
Biden rewards corruption."
308,"Them: There is no deep state that’s a conspiracy theory!

Also them:"
309,"Rushdie's attacker charged with attempted murder

Police have not yet laid a motive…""Matar has made social media posts in support of Iran and its Revolutionary Guard, and in support of Shi’a extremism more broadly."" 🤔🙄

I found this article on MxM News
https://t.co/FiTuhrjI6y"
310,"If you think it’s a coincidence that Jeffrey Epstein’s lawyer became a federal judge and that very same judge, of thousands of judges, was the person to sign off on the Mar-a-Lago search warrant you haven’t been paying attention!"
311,"Inflation Corruption Act includes:
- $284 Billion Obamacare BAILOUT
- $4OO Billion in Green New Deal GIVEAWAYS
- $80 Billion for the IRS to target you and your family
- Over $100 Billion in NEW DEBT."
312,The American people are paying the highest gas prices our country has seen in a decade. The Democrat response to this? Passing the Inflation Corruption Act that raises taxes to fund green energy schemes that will lower our quality of life and increase our pain at the pump.
313,There should really be more conversation about how Jeffrey Epstein’s lawyer somehow became a federal judge!!!
314,"Exactly right from @JohnRatcliffe: 

""The American people are upset &amp; outraged that for the last six years... what they've seen… is essentially the FBI acting as the muscle of the Democrat Party.”  https://t.co/8fOHc7W8zu"
315,Of course the Inflation Corruption Act includes a giant payout to labor union bosses who control the puppet strings of the Democrat Party. They’re going to raise the taxes of working class Americans while making their donors richer. https://t.co/iklpC1pltD
316,China is burning more coal than ever while America is going to pay their citizens to install solar panels. We cannot compete with our greatest geopolitical adversary with an economy powered by unreliable green energy.
317,"So the FBI was not acting alone as everyone was told… As usual allies never had up and the “conspiracy theorists” were right yet again. 
You can’t trust a single thing these people tell you!!!"
318,It’s almost hard to believe how stupid these people are. They take time out of their day to do this and can’t name a single thing. Just sheep following their media/dem overlords. WTF
319,"""At the end of his presidency, Barack Obama trucked 30 million pages of his administration’s records to Chicago...More than five years after Obama’s presidency ended, the National Archives webpage reveals that zero pages have been digitized &amp; disclosed.""

https://t.co/377McHH4Cl"
320,"This woman literally campaigned on ""getting Trump"" and has no interest in fair and equal Justice. She's hellbent on using her office to destroy my father. The way Dems have politicized the legal system to attack their political opponents is DISGRACEFUL.

https://t.co/8ghrFE02xr"
321,Inflation is at a near 40 year high - even using the fake government numbers - And the leftwing media is gaslighting us over it because they're hacks trying to protect Biden and the Dems. Enemy of the people.
322,"THE WITCH HUNT CONTINUES!

https://t.co/dERD0DheD0"
323,"Pelosi thinks that the Communist Dictatorship in China is ""one of the freest societies in the world,"" which may explain why the Democrats are now emulating the same authoritarian tactics here at home, that the Chinese Communist Party uses against their political opposition!"
324,"REPORT: Judge Behind Mar A Lago Raid Is Epstein-Linked, Obama Donor.

https://t.co/UjBakshTtS"
325,Biden and the Dems are following in the footsteps of all the 3rd world Communist Dictators that the left worships.
326,100% https://t.co/2u7lJIwunK
327,THIS!!!!
328,Funny how that works
329,"Biden's out of control DOJ is ripping this country apart with how they're openly targeting their political enemies. 

This is what you see happen in 3rd World Banana Republics!!!"
330,America Last
331,"Economist @StephenMoore said it best:

The Inflation Reduction Act will ""reduce inflation"" the same way the Affordable Care Act made healthcare more ""affordable."""
332,"So Biden's Deputy White House Press Secretary, @Andrewjbates46, is posting literal Nazi memes on Twitter and our corrupt media is completely silent about it. 

I'm sure that if this was a Trump WH staffer, the media would treat it the exact same way and totally ignore it 🙄🙄🙄"
333,You’re not going to enjoy hearing from them after you vote to hit them with a tax hike! #AZSen
334,"Mark Kelly, Raphael Warnock, Maggie Hassan and Catherine Cortez Masto are all putting Joe Biden and his radical leftwing agenda ahead of the people they were elected to serve.

There's nothing ""moderate"" about raising taxes on small businesses. 

Vote them all out on Nov 8th!"
335,"Remember this next time leftwing fraud @SenMarkKelly (Votes with Biden 97% of the time) lies to the people of Arizona and calls himself a ""moderate."" 

Voting to raise taxes on small business in the middle of record high inflation is only something a leftwing radical would do!"
336,"Yikes!

We have record high inflation and Tim Ryan is selling out Ohio's working-class once again to support Biden's far left plan to raise taxes in the middle of a recession. https://t.co/T6ifxPrydi"
337,"Don't fall for the Dem-Media gaslighting, this is all about crushing the middle-class.

Dems Poised To Make IRS Larger Than Pentagon, State Department, FBI, and Border Patrol Combined

https://t.co/PdP9fT7oK9"
338,"My friends at @Comm4Prosperity ran the numbers:

The Biden/Schumer/Manchin Tax &amp; Spend Bill will DESTROY almost one MILLION jobs.

The Democrats war on working class America continues! https://t.co/bQMrJpcWRt"
339,So Biden was full of shit when he promised he wouldn't raise taxes on small businesses.
340,"Go to https://t.co/VkO2Eyx43t to learn about all the BS in the Tax &amp; Spend, Inflation Corruption Act that the Dems are pushing."
341,"The America Last priorities of Dems:
 
Biden/Schumer/Manchin want 87K new IRS agents at a cost of $10s of billions of dollars to harass middle-class Americans and small businesses with more audits.
 
But they refuse to protect our border by hiring more border patrol agents! https://t.co/cjAdkAmzg8"
342,Must read thread!!!
343,"Who could have seen this coming???

Whistleblower: Nearly 400 Afghans Listed as 'Potential Threats' Resettled Across U.S. by Biden's Agencies https://t.co/ewDQUYdZtX"
344,"To every energy worker in West Virginia, let it be known that @Sen_JoeManchin, is about to increase taxes on your industry that keeps our economy running so that liberal Democrats can fund green energy nonsense that will destroy our country and put you out of business."
345,"They don't care if it puts our national security at risk because the Biden Administration's anti-science vaccine mandate is about purging conservatives from the military and nothing more.

https://t.co/pyI4HF8KBe"
346,"I too would be upset if a fifth grader made me look like an imbecile. 
In all fairness what’s the difference between zim/zir and banana/rock?"
347,"While Tim Ryan was starting his 20 year career in Washington, DC, living off the taxpayers and selling out Ohioans to leftwing special interests, @JDVance1 was in Ohio fighting to achieve the American dream. 

WATCH JD'S FIRST TV AD 👇👇👇"
348,"Radical socialist nut jobs like this have taken over the Dem Party!!!

Fox News: Nevada Democrats hire socialist activist who harassed, called GOP gov candidate a 'garbage human being'

https://t.co/S1BSMrzXWt"
349,"Congrats to all of the pro-Trump America First patriots who won BIG LEAGUE last night!!!

@bgmasters 
@KariLake 
@AbrahamHamadeh 
@EliCraneAZ 
@TudorDixon 
@votejohngibbs"
350,This is what a leftwing radical sounds like
351,"Yikes!  

Tim Ryan is a 20 year career politician fraud, who lies to Ohioans about being a ""moderate,"" but then turns around and votes with Joe Biden and the radical left 100% of the time when he's in Washington, DC."
352,BREAKING: A leftwing carpetbagger from Hollywood endorses a leftwing carpetbagger from Virginia.
353,"Blake is the real deal. Get out and vote for him today, Arizona!"
354,100%. The fact that the leader of Al Qaeda felt comfortable walking around the streets of Kabul should tell us a lot… and none of it good.
355,"leftists doing their ""Trump is siding with Russia"" bs because he rightfully thinks its a bad idea to trade a convicted Russian Arms dealer for a lib activist who assumed she could break Russia's laws and get away with it like she could certainly do in the US is peak Dem Insanity!"
356,My politics in a single picture. https://t.co/6zFMkwtjc7
357,"So a total surveillance state with endless speeding tickets for everyday people, but cashless bail for violent criminals 🙄🙄🙄

New York in a nut shell under radical Democrat rule."
358,"Unfortunately for Liz Cheney, her reelection isn't taking place at CNN Headquarters. 

The actual voters of Wyoming are sick and tired of her!!!"
359,The greatest F/U in the history of Golf just happened. Awesome job @henrikstenson!!! #LIVGolf #Rydercup @LIVGolfInv @TrumpGolf https://t.co/vMGrr2ieGr
360,"What a disgrace… not just Joe, not just the democrats who are happy to see the US economy get battered to further their insane agenda, but also the MSM for their refusal to asks even the basic questions about this unmitigated disaster."
361,"At this point is the FBI anything other than the enforcement arm of the democrat’s swamp mob??? Disgusting.

Whistleblower: Same FBI Boss Who Shut Down Hunter Dirt Also Pressured Agents to Juice Domestic Violent Extremism Stats https://t.co/1uB9wEYn92"
362,"Magically for the first time ever this won’t be considered a recession. 

U.S. economy shrinks for second straight quarter, igniting recession fears https://t.co/Wvc03ujvHr"
363,"Biden’s open border policies are dangerous! Trump spent every day in office working to keep our borders SAFE AND STRONG while Biden has put us at RISK!Send a message to Joe Biden that Americans proudly support the wall that keeps us SAFE! 
https://t.co/p9dzQmnZ1t"
364,"Tim Ryan is just another all talk, no action, career politician, who has spent 20 years in Washington DC, living off the taxpayers, while voting with radicals like Biden and Pelosi 100% of the time!"
365,"Three weeks from today, we're going to retire Liz Cheney and replace her with conservative warrior @HagemanforWY!!! https://t.co/oQuBLXZ6s3"
366,"Love to see a company standing up for American values and rights, even when it drives the woke mob crazy. Keep it up, @EvanHafer and @blckriflecoffee 🇺🇸 https://t.co/clWEX44HoU"
367,Apparently The White House is changing the definition of recession this week so we can pretend that we’re not in one.
368,This would never happen if Trump was in office.
369,"Let me guess, he was an austere religious scholar too? There’s no doubt that if this all happened to Kathy Hochul that the NY Times headline would have been about trying to assassinate her."
370,"Ethics Watchdog Demands Investigation into Rep. Tim Ryan for Violating House Proxy Voting Rules

https://t.co/rBnW9MMc9F"
371,Yikes!
372,"Strange how this will receive exactly zero coverage from the BS J6 Inquisition and the MSM. I’m shocked!

Memo: Trump gave order to 'make sure' J6 rally was 'safe event'

I found this article on MxM News--a new app without media bias or censorship.

https://t.co/oEx9HzlaOz"
373,"DISGRACEFUL.

This is happening because of the pro-criminal policies, like ending cash bail, supported by the Kathy Hochul and virtually every other Democrat in New York."
374,Legitimately outrageous
375,Must read thread on one of the biggest frauds in politics
376,"Hmmm, can't put my finger on it, but there seems to be something missing from Twitter's description of what happened here...🧐🤔 https://t.co/pMSyCv6cqb"
377,So sad. If only we spent a fraction of the $60 billion we sent to corrupt Ukraine to finish our wall and actually enforce our borders this bullshit wouldn’t happen!!!
378,9.1% inflation but no mean tweets!!!
379,Biden's disaster of a Presidency in a single chart...
380,9.1%. End of quote. Repeat the line.
381,The only thing in the universe higher than inflation under Joe Biden right now is Hunter Biden!
382,"Instead of teaching law-students at a University, this lady should be committed to a mental institution"
383,"A small fraction of the almost $60,000,000,000 of your tax dollars sent to Ukraine could have completed Trumps’s Border Wall solving a humanitarian crisis, a sex trafficking crisis, a drug trafficking crisis, a human trafficking crisis but D.C pols had no interest in fixing that!"
384,"20 years in Washington DC and the only thing @TimRyan has to show for it (besides voting with Joe Biden's leftwing agenda 100% of the time) is renaming post offices. He's done NOTHING for Ohioans. 

How Tim Ryan Spends His Time in DC: Renaming Buildings

https://t.co/JM90xKI345"
385,Imagine if our government cared for its own people like they care about corrupt countries like Ukraine. Imagine if they spent your taxpayer dollars on… wait for it… YOU?!?
386,"Amid Hunter’s ongoing scandals, Biden is going soft on China

https://t.co/usrm0vccJM"
387,#TacoTuesday https://t.co/FeDcAu47uc
388,"We have a mentally shot President, who is too weak, scared and fragile to even shake hands.

I'm sure America's enemies are shaking in their boots right now 🙄"
389,Imagine the things he decided may be a bit too much for film!!! Also imagine the coverage if this was me?
390,"Why are Pat Cipollone &amp; his lawyers letting the J6 Committee get away with suborning Cassidy Hutchinson’s perjury? Only cowards let the Left bully them into sitting quietly instead of speaking up and telling the truth. Stop hiding on background, Pat. Grow a spine &amp; go on record."
391,Same MSM that gave murderous dictator Fidel Castro a glowing sendoff. No one should be surprised how deprived these people are anymore.
392,It’s Dr. Jill Biden to you!!!
393,Yikes!!!
394,"Elon musk is terminating his agreement to buy Twitter: So basically Twitter has a huge amount of spam accounts —way more than they let on — and has gotten busted for it!!! 
As I said weeks ago spam accounts are probably 50% not 5% of Twitter users. A"
395,"If you put it on the teleprompter he will read it. He’s Ron Burgundy, but without the charisma. FU America (basically/probably) https://t.co/atOw50BnOt"
396,Yikes!
397,"REPORT: Whistleblower Demands Investigation Into Biden’s Nuclear Drag Queen Hiring Process, Alleging ‘Substantial Irregularities’.

https://t.co/FFqoyoOiVa"
398,"Congrats Dick!

https://t.co/n5UIbiXQ0W"
399,America last in action
400,"Tim Ryan votes with Joe Biden's inflationary and job-killing agenda 100% of the time in Congress, but he's hiding from Biden on the campaign trail. 

Hiding From Biden: Ohio Dem Won’t Attend President’s Cleveland Speech

https://t.co/62ddSZVBE7"
401,"Special edition of OUR JOURNEY TOGETHER, hand signed inside the book by 45! Limited edition! Get your copy now at https://t.co/HLcnyOgh5Z https://t.co/T1wSnaPkxl"
402,"Un-freaked-believable. We sent 5,000,000 barrels of oil to Europe from our strategic oil reserves with prices through the roof for Americans. 
At this point it’s hard to assume Democrats are doing anything other than purposefully destroying our country! https://t.co/DJ3FcC7THM"
403,I’m shocked!!!!
404,"Biden to allow some migrants with terrorist ties into country, raising security concerns https://t.co/b3dKwbPv1k via @JustTheNews"
405,Happy Birthday America!!! 🇺🇸🇺🇸🇺🇸
406,🇺🇸🇺🇸🇺🇸 https://t.co/SeRpuPkpuc
407,Wow! I guess she is capable of telling the truth even if it’s only this once.
408,"As you spend your hard earned money this weekend know that everything is so expensive because democrats are getting you to fund their “liberal world order” while putting your family, your country, and your well-being last."
409,Happy 4th Of July America🇺🇸🇺🇸🇺🇸
410,"Hahahaha. Yea they pressured her to make up stories about Trump single-handedly disarming multiple USSS agents and stealing their car. 

By all means go ahead and keep destroying the BS J6 committee’s credibility you’re doing a wonderful job at it so far."
411,"As corporations continue to go woke, it's our duty as Americans to make them go broke. 

@realmichaelseif and his team have stepped up and are connecting thousands of patriotic businesses and consumers over at @officialpsq.

Sign up at the link below. *ad https://t.co/jQhxu1nup3"
412,"BREAKING: After 50 years and millions of lives lost, SCOTUS has finally overturned Roe v. Wade. The mission to save unborn lives doesn’t end here - Sign the petition to demand Congress pass laws protecting the right to life for all. ⬇️⬇️⬇️

https://t.co/QCtkrBMEqS"
413,*first grader.
414,It’s just getting disgraceful at this point… they’re trying so desperately. Since the Democrats are all about firsts why doesn’t one of them try to be the first Democrat to actually do something good for America? https://t.co/gDMrearCvx
415,It’s pretty surreal watching the CNNs of the world still pretending that there aren’t multiple actual witnesses willing to testify that the fake bombshell hearsay testimony they’re salivating over isn’t demonstrably false and that their dream witness/coffee girl perjured herself!
416,"Okay, but real bravery is whacking off during a work zoom call. Am I right?"
417,"Well one of those men was her dad &amp; she’s literally a carbon copy of him, so great work.

Although, he at least spent decades at the center of power, while Liz is groveling for Dem votes &amp; on the verge of losing reelection by 30 points, just a few years into her political career."
418,"I notice that you talk a big game when you're campaigning in Ohio about supporting my dad on trade, but you spent his entire presidency attacking his tariffs &amp; voting with radicals like AOC 95% of the time.

PS: The journos in this clip might as well be Dem operatives!!! #OHSen https://t.co/h6DjBJiCj4"
419,"If he actually did what she said, I’d be even more impressed. That was some Jason Bourne level shit. 🤣🤣🤣"
420,"This is insane!!  Do you want your emails &amp; text messages censored?  You’ve heard it here before, quit supporting WOKE companies!  You do have a choice where to spend your money, and there is a strong, conservative alternative to Woke Telecom: ▶️ https://t.co/JRHaBn4utX"
421,The real pandemic in America is Trump Derangement Syndrome.
422,Hanoi Jane would definitely prefer AK-47s over M-16s
423,Could it be any more clear that the committee has absolutely no interest in finding out what really happened?
424,"You’re daily reminder that the press definitely doesn’t “Root for a side” 
Great reporting Clown Show Karl. I notice that it’s been almost 24 hours and no mention in your timeline that her testimony seems to be heavily refuted and your friends in the committee have no interest?"
425,"If 8 out of 10 Democrats think this, there’s no way that Joe Biden’s above 30% approval across the country. Zero chance!"
426,What's a little perjury if you're willing to give the J6 clowns what they want??? Republicans must investigate who on the committee knew all of this and let her do it anyway!!!
427,"🚨🚨🚨

So the J6 Committee rushed an ""emergency hearing"" and ran with Hutchinson's fairy tale, without even ATTEMPTING to verify whether it was true or not.

It's almost like these dishonest frauds are more interested in ""getting Trump,"" than getting the truth!!!"
428,"Ah yes, she was so “speechless” that she wanted to go down with the rest of the team to Mar-a-Lago and continue working for him just days later. 
Very believable!"
429,"If she wants to appear fair perhaps she should let the multiple Secret Service agents that would testify that yesterday's testimony was absolute nonsense get on the stand, but she has no interest in appearing fair and neither does the media who loves doing her bidding."
430,"We know the democrat un-select committee won’t do anything about perjury from their star witnesses, but hopefully Republicans will when they take back to the house in November."
431,The handwritten note J6 Star Witness testified she wrote was actually written by Eric Herschmann. She flat out lied. The committee knew it because Eric testified under oath that he wrote that note. Cheney questioned him about it. She knew Cassidy was lying https://t.co/56vRvA64Uk
432,Since the committee won’t go after their star witnesses when they perjure themselves I sure hope that the republicans do when they take back the house.
433,J6 Clown Committee has the Receipts!!! Oh ohhh 😮 https://t.co/yadOFFfbn0
434,And when federal law-enforcement offered to step up and call out the star witness’s lies the committee had absolutely no interest in hearing them out. Because they’re really concerned about getting to the truth🤡🤡🤡
435,They totally don’t want to hear from multiple federal law enforcement officers who were ACTUAL witnesses to the hearsay their coffee getter/star witness seemingly made up. Why would they want to hear from the people who are actually there when they have this wonderful narrative?
436,"How it started vs how it’s going… The difference between a conspiracy theory and the truth used to be about six months… Now it’s about six hours.
Great work CNN https://t.co/616FP8hVB1"
